,code,name,network,elevation_m,site_property,GEO_ID_1,STATE_1,NAME_1,LSAD_1,CENSUSAREA_1,x,y,depth,anomoly,GEO_ID_2,STATE_2,NAME_2,LSAD_2,CENSUSAREA_2,geometry
28,905_CO_SNTL,Mancos,SNOTEL,3048.0,"{'county': 'Montezuma', 'state': 'Colorado', 'site_comments': 'beginDate=8/30/1994 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=140801070102|HUD=14080107|TimeZone=-8.0|actonId=08M02S|shefId=MNCC2|stationTriplet=905:CO:SNTL|isActive=True', 'pos_accuracy_m': '0'}",0400000US08,08,Colorado,,103641.888,219548.3302617644,4147389.4908498423,14.0,-16.526315789473685,0400000US08,08,Colorado,,103641.888,POINT (219548.3302617644 4147389.4908498423)
29,618_CO_SNTL,Mc Clure Pass,SNOTEL,2895.60009765625,"{'county': 'Pitkin', 'state': 'Colorado', 'site_comments': 'beginDate=10/1/1979 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=140200040203|HUD=14020004|TimeZone=-8.0|actonId=07K09S|shefId=MCPC2|stationTriplet=618:CO:SNTL|isActive=True', 'pos_accuracy_m': '0'}",0400000US08,08,Colorado,,103641.888,302221.9794012706,4333581.66307818,37.0,-16.473684210526315,0400000US08,08,Colorado,,103641.888,POINT (302221.9794012706 4333581.66307818)
30,1040_CO_SNTL,Mccoy Park,SNOTEL,2889.50390625,"{'county': 'Eagle', 'state': 'Colorado', 'site_comments': 'beginDate=10/1/2002 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=140100030302|HUD=14010003|TimeZone=-8.0|actonId=06K44S|shefId=MCYC2|stationTriplet=1040:CO:SNTL|isActive=True', 'pos_accuracy_m': '0'}",0400000US08,08,Colorado,,103641.888,367678.0175040818,4385016.69124604,34.0,-16.450000000000003,0400000US08,08,Colorado,,103641.888,POINT (367678.0175040818 4385016.69124604)
31,914_CO_SNTL,Medano Pass,SNOTEL,2941.01513671875,"{'county': 'Saguache', 'state': 'Colorado', 'site_comments': 'beginDate=10/1/1995 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=130100030604|HUD=13010003|TimeZone=-8.0|actonId=05M16S|shefId=MDPC2|stationTriplet=914:CO:SNTL|isActive=True', 'pos_accuracy_m': '0'}",0400000US08,08,Colorado,,103641.888,461630.79285025864,4189443.8549716175,0.0,-9.052631578947368,0400000US08,08,Colorado,,103641.888,POINT (461630.79285025864 4189443.8549716175)
32,937_CO_SNTL,Michigan Creek,SNOTEL,3230.8798828125,"{'county': 'Park', 'state': 'Colorado', 'site_comments': 'beginDate=8/10/1998 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=101900010404|HUD=10190001|TimeZone=-8.0|actonId=05K28S|shefId=MIHC2|stationTriplet=937:CO:SNTL|isActive=True', 'pos_accuracy_m': '0'}",0400000US08,08,Colorado,,103641.888,421619.20091049187,4365531.794587652,41.0,-13.391304347826086,0400000US08,08,Colorado,,103641.888,POINT (421619.20091049187 4365531.794587652)
33,624_CO_SNTL,Middle Creek,SNOTEL,3429.0,"{'county': 'Mineral', 'state': 'Colorado', 'site_comments': 'beginDate=10/1/1979 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=130100010501|HUD=13010001|TimeZone=-8.0|actonId=07M21S|shefId=MDLC2|stationTriplet=624:CO:SNTL|isActive=True', 'pos_accuracy_m': '0'}",0400000US08,08,Colorado,,103641.888,320420.04438339354,4165577.3388256514,37.0,-4.2631578947368425,0400000US08,08,Colorado,,103641.888,POINT (320420.04438339354 4165577.3388256514)
34,1014_CO_SNTL,Middle Fork Camp,SNOTEL,2724.912109375,"{'county': 'Grand', 'state': 'Colorado', 'site_comments': 'beginDate=9/19/2001 11:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=140100010402|HUD=14010001|TimeZone=-8.0|actonId=06K12S|shefId=MFKC2|stationTriplet=1014:CO:SNTL|isActive=True', 'pos_accuracy_m': '0'}",0400000US08,08,Colorado,,103641.888,412048.39261902263,4405576.01132774,34.0,-13.0,0400000US08,08,Colorado,,103641.888,POINT (412048.39261902263 4405576.01132774)
35,658_CO_SNTL,Nast Lake,SNOTEL,2651.760009765625,"{'county': 'Pitkin', 'state': 'Colorado', 'site_comments': 'beginDate=10/1/1985 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=140100040504|HUD=14010004|TimeZone=-8.0|actonId=06K06S|shefId=NSSC2|stationTriplet=658:CO:SNTL|isActive=True', 'pos_accuracy_m': '0'}",0400000US08,08,Colorado,,103641.888,361432.5338923009,4350990.92937954,10.0,-17.789473684210527,0400000US08,08,Colorado,,103641.888,POINT (361432.5338923009 4350990.92937954)
36,1031_CO_SNTL,Never Summer,SNOTEL,3133.343994140625,"{'county': 'Jackson', 'state': 'Colorado', 'site_comments': 'beginDate=9/1/2002 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=101800010401|HUD=10180001|TimeZone=-8.0|actonId=06J27S|shefId=NEVC2|stationTriplet=1031:CO:SNTL|isActive=True', 'pos_accuracy_m': '0'}",0400000US08,08,Colorado,,103641.888,418892.65961998503,4473042.799886885,61.0,-18.15,0400000US08,08,Colorado,,103641.888,POINT (418892.65961998503 4473042.799886885)
37,669_CO_SNTL,North Lost Trail,SNOTEL,2804.159912109375,"{'county': 'Gunnison', 'state': 'Colorado', 'site_comments': 'beginDate=10/1/1984 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=140100040703|HUD=14010004|TimeZone=-8.0|actonId=07K01S|shefId=NLSC2|stationTriplet=669:CO:SNTL|isActive=True', 'pos_accuracy_m': '0'}",0400000US08,08,Colorado,,103641.888,314552.1270730402,4327634.373769535,39.0,-19.94736842105263,0400000US08,08,Colorado,,103641.888,POINT (314552.1270730402 4327634.373769535)
38,680_CO_SNTL,Park Cone,SNOTEL,2926.080078125,"{'county': 'Gunnison', 'state': 'Colorado', 'site_comments': 'beginDate=10/1/1979 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=140200010107|HUD=14020001|TimeZone=-8.0|actonId=06L02S|shefId=PKCC2|stationTriplet=680:CO:SNTL|isActive=True', 'pos_accuracy_m': '0'}",0400000US08,08,Colorado,,103641.888,361989.88256237726,4297998.2341455305,30.0,-11.684210526315788,0400000US08,08,Colorado,,103641.888,POINT (361989.88256237726 4297998.2341455305)
39,682_CO_SNTL,Park Reservoir,SNOTEL,3035.80810546875,"{'county': 'Delta', 'state': 'Colorado', 'site_comments': 'beginDate=10/1/1978 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=140200050111|HUD=14020005|TimeZone=-8.0|actonId=07K06S|shefId=PRVC2|stationTriplet=682:CO:SNTL|isActive=True', 'pos_accuracy_m': '0'}",0400000US08,08,Colorado,,103641.888,251264.38731602413,4325862.006770264,56.0,-11.807692307692307,0400000US08,08,Colorado,,103641.888,POINT (251264.38731602413 4325862.006770264)
40,1032_CO_SNTL,Rawah,SNOTEL,2749.2958984375,"{'county': 'Jackson', 'state': 'Colorado', 'site_comments': 'beginDate=9/1/2002 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=101800010603|HUD=10180001|TimeZone=-8.0|actonId=06J20S|shefId=RAWC2|stationTriplet=1032:CO:SNTL|isActive=True', 'pos_accuracy_m': '0'}",0400000US08,08,Colorado,,103641.888,414885.2164668302,4506775.803096036,31.0,-26.4,0400000US08,08,Colorado,,103641.888,POINT (414885.2164668302 4506775.803096036)
41,713_CO_SNTL,Red Mountain Pass,SNOTEL,3413.760009765625,"{'county': 'San Juan', 'state': 'Colorado', 'site_comments': 'beginDate=10/1/1979 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=140801040103|HUD=14080104|TimeZone=-8.0|actonId=07M33S|shefId=RMPC2|stationTriplet=713:CO:SNTL|isActive=True', 'pos_accuracy_m': '0'}",0400000US08,08,Colorado,,103641.888,261397.5216977791,4197281.573357299,60.0,-13.680000000000007,0400000US08,08,Colorado,,103641.888,POINT (261397.5216977791 4197281.573357299)
42,717_CO_SNTL,Ripple Creek,SNOTEL,3151.632080078125,"{'county': 'Rio Blanco', 'state': 'Colorado', 'site_comments': 'beginDate=10/1/1985 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=140500050102|HUD=14050005|TimeZone=-8.0|actonId=07J05S|shefId=RCPC2|stationTriplet=717:CO:SNTL|isActive=True', 'pos_accuracy_m': '0'}",0400000US08,08,Colorado,,103641.888,304475.40493548865,4442280.098867775,65.0,-22.400000000000006,0400000US08,08,Colorado,,103641.888,POINT (304475.40493548865 4442280.098867775)
43,939_CO_SNTL,Rough And Tumble,SNOTEL,3157.72802734375,"{'county': 'Park', 'state': 'Colorado', 'site_comments': 'beginDate=8/10/1998 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=101900010202|HUD=10190001|TimeZone=-8.0|actonId=06K43S|shefId=ROUC2|stationTriplet=939:CO:SNTL|isActive=True', 'pos_accuracy_m': '0'}",0400000US08,08,Colorado,,103641.888,406235.5638996499,4321033.43743131,33.0,-15.5,0400000US08,08,Colorado,,103641.888,POINT (406235.5638996499 4321033.43743131)
44,737_CO_SNTL,Schofield Pass,SNOTEL,3261.360107421875,"{'county': 'Gunnison', 'state': 'Colorado', 'site_comments': 'beginDate=10/1/1984 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=140100040701|HUD=14020001|TimeZone=-8.0|actonId=07K11S|shefId=SOSC2|stationTriplet=737:CO:SNTL|isActive=True', 'pos_accuracy_m': '0'}",0400000US08,08,Colorado,,103641.888,322623.7545447356,4320462.519400966,72.0,-11.319999999999993,0400000US08,08,Colorado,,103641.888,POINT (322623.7545447356 4320462.519400966)
45,762_CO_SNTL,Slumgullion,SNOTEL,3523.488037109375,"{'county': 'Hinsdale', 'state': 'Colorado', 'site_comments': 'beginDate=10/1/1979 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=140200020502|HUD=14020002|TimeZone=-8.0|actonId=07M30S|shefId=SLMC2|stationTriplet=762:CO:SNTL|isActive=True', 'pos_accuracy_m': '0'}",0400000US08,08,Colorado,,103641.888,306522.95203962637,4207084.581508625,50.0,-7.842105263157897,0400000US08,08,Colorado,,103641.888,POINT (306522.95203962637 4207084.581508625)
46,773_CO_SNTL,South Colony,SNOTEL,3291.840087890625,"{'county': 'Custer', 'state': 'Colorado', 'site_comments': 'beginDate=10/1/1990 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=110200011206|HUD=11020001|TimeZone=-8.0|actonId=05M13S|shefId=SCYC2|stationTriplet=773:CO:SNTL|isActive=True', 'pos_accuracy_m': '0'}",0400000US08,08,Colorado,,103641.888,452755.63454551017,4202413.103347841,57.0,-8.368421052631582,0400000US08,08,Colorado,,103641.888,POINT (452755.63454551017 4202413.103347841)
47,793_CO_SNTL,Stillwater Creek,SNOTEL,2657.85595703125,"{'county': 'Grand', 'state': 'Colorado', 'site_comments': 'beginDate=10/1/1985 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=140100010306|HUD=14010001|TimeZone=-8.0|actonId=05J12S|shefId=SCSC2|stationTriplet=793:CO:SNTL|isActive=True', 'pos_accuracy_m': '0'}",0400000US08,08,Colorado,,103641.888,421746.99268999783,4453183.822940293,16.0,-16.36842105263158,0400000US08,08,Colorado,,103641.888,POINT (421746.99268999783 4453183.822940293)
48,797_CO_SNTL,Stump Lakes,SNOTEL,3413.760009765625,"{'county': 'San Juan', 'state': 'Colorado', 'site_comments': 'beginDate=10/1/1985 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=140801040702|HUD=14080104|TimeZone=-8.0|actonId=07M34S|shefId=STPC2|stationTriplet=797:CO:SNTL|isActive=True', 'pos_accuracy_m': '0'}",0400000US08,08,Colorado,,103641.888,267178.0872097202,4150958.310491069,57.0,-4.18181818181818,0400000US08,08,Colorado,,103641.888,POINT (267178.0872097202 4150958.310491069)
49,802_CO_SNTL,Summit Ranch,SNOTEL,2865.1201171875,"{'county': 'Summit', 'state': 'Colorado', 'site_comments': 'beginDate=10/1/1979 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=140100020502|HUD=14010002|TimeZone=-8.0|actonId=06K14S|shefId=SUMC2|stationTriplet=802:CO:SNTL|isActive=True', 'pos_accuracy_m': '0'}",0400000US08,08,Colorado,,103641.888,400745.02635610127,4397095.336521014,33.0,-9.157894736842103,0400000US08,08,Colorado,,103641.888,POINT (400745.02635610127 4397095.336521014)
50,827_CO_SNTL,Trapper Lake,SNOTEL,2956.56005859375,"{'county': 'Garfield', 'state': 'Colorado', 'site_comments': 'beginDate=10/1/1985 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=140500050101|HUD=14050005|TimeZone=-8.0|actonId=07K13S|shefId=TLSC2|stationTriplet=827:CO:SNTL|isActive=True', 'pos_accuracy_m': '0'}",0400000US08,08,Colorado,,103641.888,309107.02522467263,4430023.616736702,42.0,0.6499999999999986,0400000US08,08,Colorado,,103641.888,POINT (309107.02522467263 4430023.616736702)
51,1005_CO_SNTL,Ute Creek,SNOTEL,3246.1201171875,"{'county': 'Costilla', 'state': 'Colorado', 'site_comments': 'beginDate=8/16/2000 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=130100020604|HUD=13010002|TimeZone=-8.0|actonId=05M17S|shefId=UTCC2|stationTriplet=1005:CO:SNTL|isActive=True', 'pos_accuracy_m': '0'}",0400000US08,08,Colorado,,103641.888,467057.39547513926,4163162.1659084717,22.0,-9.909090909090907,0400000US08,08,Colorado,,103641.888,POINT (467057.39547513926 4163162.1659084717)
52,843_CO_SNTL,Vallecito,SNOTEL,3316.22412109375,"{'county': 'La Plata', 'state': 'Colorado', 'site_comments': 'beginDate=10/1/1985 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=140801011105|HUD=14080101|TimeZone=-8.0|actonId=07M31S|shefId=VALC2|stationTriplet=843:CO:SNTL|isActive=True', 'pos_accuracy_m': '0'}",0400000US08,08,Colorado,,103641.888,278361.42683492496,4151639.958903531,30.0,-5.9090909090909065,0400000US08,08,Colorado,,103641.888,POINT (278361.42683492496 4151639.958903531)
53,859_WY_SNTL,Whiskey Park,SNOTEL,2727.9599609375,"{'county': 'Carbon', 'state': 'Wyoming', 'site_comments': 'beginDate=10/1/1985 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=140500030102|HUD=14050003|TimeZone=-8.0|actonId=06H22S|shefId=WPKW4|stationTriplet=859:WY:SNTL|isActive=True', 'pos_accuracy_m': '0'}",0400000US08,08,Colorado,,103641.888,339496.9230984738,4540832.223696737,56.0,-19.900000000000006,0400000US08,08,Colorado,,103641.888,POINT (339496.9230984738 4540832.223696737)
54,870_CO_SNTL,Willow Park,SNOTEL,3261.360107421875,"{'county': 'Larimer', 'state': 'Colorado', 'site_comments': 'beginDate=10/1/1979 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=101900060204|HUD=10190006|TimeZone=-8.0|actonId=05J40S|shefId=WPRC2|stationTriplet=870:CO:SNTL|isActive=True', 'pos_accuracy_m': '0'}",0400000US08,08,Colorado,,103641.888,437796.4324944939,4476025.017552118,51.0,-21.42857142857143,0400000US08,08,Colorado,,103641.888,POINT (437796.4324944939 4476025.017552118)
55,874_CO_SNTL,Wolf Creek Summit,SNOTEL,3352.800048828125,"{'county': 'Mineral', 'state': 'Colorado', 'site_comments': 'beginDate=10/1/1985 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=140801010203|HUD=14080101|TimeZone=-8.0|actonId=06M17S|shefId=WCSC2|stationTriplet=874:CO:SNTL|isActive=True', 'pos_accuracy_m': '0'}",0400000US08,08,Colorado,,103641.888,340696.8897959985,4149560.42866162,77.0,-5.480000000000004,0400000US08,08,Colorado,,103641.888,POINT (340696.8897959985 4149560.42866162)
56,1033_CO_SNTL,Zirkel,SNOTEL,2846.83203125,"{'county': 'Jackson', 'state': 'Colorado', 'site_comments': 'beginDate=8/14/2002 6:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=101800010202|HUD=10180001|TimeZone=-8.0|actonId=06J19S|shefId=ZIRC2|stationTriplet=1033:CO:SNTL|isActive=True', 'pos_accuracy_m': '0'}",0400000US08,08,Colorado,,103641.888,365410.7703812899,4517211.591230537,54.0,-13.849999999999994,0400000US08,08,Colorado,,103641.888,POINT (365410.7703812899 4517211.591230537)
